sample_id	cell_type	fraction	reference	converged
SCPCS000001	Bcells	8.765501437151741e-4	Tref	TRUE
SCPCS000001	CAFs	0.0020606142176755582	Tref	TRUE
SCPCS000001	CD4_Tcells	0.024980545968868933	Tref	TRUE
SCPCS000001	CD8_Tcells	0.008538287885257253	Tref	TRUE
SCPCS000001	Endothelial	0.17683369513724595	Tref	TRUE
SCPCS000001	Macrophages	0.011472004652243045	Tref	TRUE
SCPCS000001	NKcells	3.417146422951758e-9	Tref	TRUE
SCPCS000001	otherCells	0.7752382985778478	Tref	TRUE
SCPCS000002	Bcells	1.1142528403875393e-4	Tref	TRUE
SCPCS000002	CAFs	0.060633714537984246	Tref	TRUE
SCPCS000002	CD4_Tcells	0.022798968500807572	Tref	TRUE
SCPCS000002	CD8_Tcells	0.025466010513672546	Tref	TRUE
SCPCS000002	Endothelial	0.13936810676360553	Tref	TRUE
SCPCS000002	Macrophages	0.03912872479896684	Tref	TRUE
SCPCS000002	NKcells	2.753211808329933e-7	Tref	TRUE
SCPCS000002	otherCells	0.7124927742797436	Tref	TRUE
SCPCS000003	Bcells	0.0016438390957127953	Tref	TRUE
SCPCS000003	CAFs	0.0017807308534712307	Tref	TRUE
SCPCS000003	CD4_Tcells	0.03858918942020716	Tref	TRUE
SCPCS000003	CD8_Tcells	0.012864375980338849	Tref	TRUE
SCPCS000003	Endothelial	0.05837134350809155	Tref	TRUE
SCPCS000003	Macrophages	0.008709457689438156	Tref	TRUE
SCPCS000003	NKcells	3.1356329513010843e-9	Tref	TRUE
SCPCS000003	otherCells	0.8780410603171073	Tref	TRUE
SCPCS000004	Bcells	1.4076099215388073e-4	Tref	TRUE
SCPCS000004	CAFs	0.0056723309808006965	Tref	TRUE
SCPCS000004	CD4_Tcells	0.012460156561501365	Tref	TRUE
SCPCS000004	CD8_Tcells	0.0061101612706491	Tref	TRUE
SCPCS000004	Endothelial	0.16041301901359145	Tref	TRUE
SCPCS000004	Macrophages	0.015599042122353728	Tref	TRUE
SCPCS000004	NKcells	4.1089679590901205e-9	Tref	TRUE
SCPCS000004	otherCells	0.7996045249499818	Tref	TRUE
SCPCS000005	Bcells	0.00102845921547598	Tref	TRUE
SCPCS000005	CAFs	0.04337255245601159	Tref	TRUE
SCPCS000005	CD4_Tcells	0.03769329323443632	Tref	TRUE
SCPCS000005	CD8_Tcells	1.1874809554687871e-4	Tref	TRUE
SCPCS000005	Endothelial	0.11961043919836147	Tref	TRUE
SCPCS000005	Macrophages	0.06790759325162722	Tref	TRUE
SCPCS000005	NKcells	7.820466974230988e-9	Tref	TRUE
SCPCS000005	otherCells	0.7302689067280737	Tref	TRUE
SCPCS000007	Bcells	9.195276515156378e-5	Tref	TRUE
SCPCS000007	CAFs	0.0037196027234083565	Tref	TRUE
SCPCS000007	CD4_Tcells	0.015660762469891152	Tref	TRUE
SCPCS000007	CD8_Tcells	0.007691084001166327	Tref	TRUE
SCPCS000007	Endothelial	0.011084725703701538	Tref	TRUE
SCPCS000007	Macrophages	0.017392960629321358	Tref	TRUE
SCPCS000007	NKcells	4.4393756464438225e-8	Tref	TRUE
SCPCS000007	otherCells	0.9443588673136033	Tref	TRUE
SCPCS000008	Bcells	3.964056607943741e-8	Tref	TRUE
SCPCS000008	CAFs	0.002261132360750058	Tref	TRUE
SCPCS000008	CD4_Tcells	0.04215729584039909	Tref	TRUE
SCPCS000008	CD8_Tcells	0.011170338481569298	Tref	TRUE
SCPCS000008	Endothelial	0.05166420669389591	Tref	TRUE
SCPCS000008	Macrophages	0.017300109307696755	Tref	TRUE
SCPCS000008	NKcells	1.133455460658849e-7	Tref	TRUE
SCPCS000008	otherCells	0.8754467643295768	Tref	TRUE
SCPCS000009	Bcells	3.219836379998514e-4	Tref	TRUE
SCPCS000009	CAFs	0.006627828760862216	Tref	TRUE
SCPCS000009	CD4_Tcells	0.005046758357956919	Tref	TRUE
