sample_id	epic_matrix_name	reference	epic_celltype	fraction
SCPCS000168	cellFractions	TRef	Bcells	9.068785187505697e-4
SCPCS000168	cellFractions	TRef	CAFs	0.005908621935133258
SCPCS000168	cellFractions	TRef	CD4_Tcells	0.012251588709158177
SCPCS000168	cellFractions	TRef	CD8_Tcells	0.018174343408067683
SCPCS000168	cellFractions	TRef	Endothelial	0.023382750614369598
SCPCS000168	cellFractions	TRef	Macrophages	0.002112737612247522
SCPCS000168	cellFractions	TRef	NKcells	0.004206608625283754
SCPCS000168	cellFractions	TRef	otherCells	0.9330564705769895
SCPCS000169	cellFractions	TRef	Bcells	0.0027461551014862063
SCPCS000169	cellFractions	TRef	CAFs	0.023103260078258248
SCPCS000169	cellFractions	TRef	CD4_Tcells	0.032300878015817006
SCPCS000169	cellFractions	TRef	CD8_Tcells	0.02218140000168492
SCPCS000169	cellFractions	TRef	Endothelial	0.03091002382980107
SCPCS000169	cellFractions	TRef	Macrophages	0.00419794772659314
SCPCS000169	cellFractions	TRef	NKcells	3.1145206739459217e-10
SCPCS000169	cellFractions	TRef	otherCells	0.8845603349349073
SCPCS000170	cellFractions	TRef	Bcells	0.0021983625733871513
SCPCS000170	cellFractions	TRef	CAFs	0.015791414617613613
SCPCS000170	cellFractions	TRef	CD4_Tcells	0.024308481712274742
SCPCS000170	cellFractions	TRef	CD8_Tcells	0.015779878792377286
SCPCS000170	cellFractions	TRef	Endothelial	0.021626228795003328
SCPCS000170	cellFractions	TRef	Macrophages	0.0026681543376226944
SCPCS000170	cellFractions	TRef	NKcells	5.291068013107155e-10
SCPCS000170	cellFractions	TRef	otherCells	0.9176274786426143
SCPCS000171	cellFractions	TRef	Bcells	0.0016270161676080774
SCPCS000171	cellFractions	TRef	CAFs	0.023000712184348876
SCPCS000171	cellFractions	TRef	CD4_Tcells	0.021970526571982136
SCPCS000171	cellFractions	TRef	CD8_Tcells	0.018392170558633982
SCPCS000171	cellFractions	TRef	Endothelial	0.025606344787696272
SCPCS000171	cellFractions	TRef	Macrophages	0.003957869952829879
SCPCS000171	cellFractions	TRef	NKcells	5.153827894312697e-10
SCPCS000171	cellFractions	TRef	otherCells	0.905445359261518
SCPCS000172	cellFractions	TRef	Bcells	0.0021000910026396946
SCPCS000172	cellFractions	TRef	CAFs	0.01771811421687479
SCPCS000172	cellFractions	TRef	CD4_Tcells	0.018984483897920082
SCPCS000172	cellFractions	TRef	CD8_Tcells	0.016236193076409368
SCPCS000172	cellFractions	TRef	Endothelial	0.032665580558381715
SCPCS000172	cellFractions	TRef	Macrophages	0.006899034254675149
SCPCS000172	cellFractions	TRef	NKcells	2.389370665573199e-9
SCPCS000172	cellFractions	TRef	otherCells	0.9053965006037286
SCPCS000173	cellFractions	TRef	Bcells	0.0022828475904228536
SCPCS000173	cellFractions	TRef	CAFs	0.02952767424136699
SCPCS000173	cellFractions	TRef	CD4_Tcells	0.026773510740822633
SCPCS000173	cellFractions	TRef	CD8_Tcells	0.017102388428036845
SCPCS000173	cellFractions	TRef	Endothelial	0.025385150113528366
SCPCS000173	cellFractions	TRef	Macrophages	0.0028158673351549595
SCPCS000173	cellFractions	TRef	NKcells	5.152339520341621e-10
SCPCS000173	cellFractions	TRef	otherCells	0.8961125610354334
SCPCS000174	cellFractions	TRef	Bcells	0.0030706379313068886
SCPCS000174	cellFractions	TRef	CAFs	0.1837334943116397
SCPCS000174	cellFractions	TRef	CD4_Tcells	0.03815571731587906
SCPCS000174	cellFractions	TRef	CD8_Tcells	0.014847172696412798
SCPCS000174	cellFractions	TRef	Endothelial	0.03377394925483803
SCPCS000174	cellFractions	TRef	Macrophages	0.009012263972427915
SCPCS000174	cellFractions	TRef	NKcells	1.1530536573327997e-8
SCPCS000174	cellFractions	TRef	otherCells	0.717406752986959
SCPCS000175	cellFractions	TRef	Bcells	1.0231457546639374e-6
SCPCS000175	cellFractions	TRef	CAFs	0.3460048332565491
SCPCS000175	cellFractions	TRef	CD4_Tcells	4.315896347986076e-6
SCPCS000175	cellFractions	TRef	CD8_Tcells	3.92281611103001e-6
SCPCS000175	cellFractions	TRef	Endothelial	0.10843036963058933
SCPCS000175	cellFractions	TRef	Macrophages	0.006096201551734689
SCPCS000175	cellFractions	TRef	NKcells	1.9238212264887597e-5
SCPCS000175	cellFractions	TRef	otherCells	0.5394400954906483
SCPCS000176	cellFractions	TRef	Bcells	0.00126629108596568
SCPCS000176	cellFractions	TRef	CAFs	0.049518948382283844
SCPCS000176	cellFractions	TRef	CD4_Tcells	0.021766281034017485
SCPCS000176	cellFractions	TRef	CD8_Tcells	0.013657945312076434
SCPCS000176	cellFractions	TRef	Endothelial	0.03090034298488076
SCPCS000176	cellFractions	TRef	Macrophages	0.005064265339109147
SCPCS000176	cellFractions	TRef	NKcells	1.2051207724341634e-8
SCPCS000176	cellFractions	TRef	otherCells	0.8778259138104589
SCPCS000177	cellFractions	TRef	Bcells	0.001268379493280533
SCPCS000177	cellFractions	TRef	CAFs	0.005268517409812456
SCPCS000177	cellFractions	TRef	CD4_Tcells	0.0076262366711010885
SCPCS000177	cellFractions	TRef	CD8_Tcells	0.009360060288628324
SCPCS000177	cellFractions	TRef	Endothelial	0.010956254818244617
SCPCS000177	cellFractions	TRef	Macrophages	0.005449500829959462
SCPCS000177	cellFractions	TRef	NKcells	2.3574405192547397e-10
SCPCS000177	cellFractions	TRef	otherCells	0.9600710502532294
SCPCS000178	cellFractions	TRef	Bcells	0.0015787126555067803
SCPCS000178	cellFractions	TRef	CAFs	0.024399549080480174
SCPCS000178	cellFractions	TRef	CD4_Tcells	0.005802795122059522
SCPCS000178	cellFractions	TRef	CD8_Tcells	0.003185646023631555
SCPCS000178	cellFractions	TRef	Endothelial	0.03648277966252445
SCPCS000178	cellFractions	TRef	Macrophages	0.002663795858337118
SCPCS000178	cellFractions	TRef	NKcells	1.7401229444420453e-9
SCPCS000178	cellFractions	TRef	otherCells	0.9258867198573374
SCPCS000179	cellFractions	TRef	Bcells	0.0010085996010147742
SCPCS000179	cellFractions	TRef	CAFs	0.015388005453678215
SCPCS000179	cellFractions	TRef	CD4_Tcells	0.005822637030392752
SCPCS000179	cellFractions	TRef	CD8_Tcells	0.006509330354963578
SCPCS000179	cellFractions	TRef	Endothelial	0.08644733374951855
SCPCS000179	cellFractions	TRef	Macrophages	0.009243899271554197
SCPCS000179	cellFractions	TRef	NKcells	3.548951610867373e-8
SCPCS000179	cellFractions	TRef	otherCells	0.8755801590493618
SCPCS000180	cellFractions	TRef	Bcells	0.0012553904090017059
SCPCS000180	cellFractions	TRef	CAFs	0.028997465430389485
SCPCS000180	cellFractions	TRef	CD4_Tcells	0.019487534098629584
SCPCS000180	cellFractions	TRef	CD8_Tcells	0.013984324888219305
SCPCS000180	cellFractions	TRef	Endothelial	0.01387625731377306
SCPCS000180	cellFractions	TRef	Macrophages	0.003678325607799141
SCPCS000180	cellFractions	TRef	NKcells	1.8214855643142023e-8
SCPCS000180	cellFractions	TRef	otherCells	0.9187206840373321
SCPCS000181	cellFractions	TRef	Bcells	0.0017461325848693355
