sample_id	quantiseq_celltype	proportion
SCPCS000129	B.cells	0.02290497268877274
SCPCS000129	Macrophages.M1	0.005194638989549737
SCPCS000129	Macrophages.M2	0.009345913044229721
SCPCS000129	Monocytes	0
SCPCS000129	Neutrophils	0.02172114410511408
SCPCS000129	NK.cells	0.040442663664526805
SCPCS000129	T.cells.CD4	0.01299666803618528
SCPCS000129	T.cells.CD8	0.0016444658466591685
SCPCS000129	Tregs	0.002492139070955047
SCPCS000129	Dendritic.cells	0.02932603831439792
SCPCS000129	Other	0.8539313562396095
SCPCS000130	B.cells	0.028455661480068773
SCPCS000130	Macrophages.M1	0
SCPCS000130	Macrophages.M2	0
SCPCS000130	Monocytes	0.06348987929834983
SCPCS000130	Neutrophils	0
SCPCS000130	NK.cells	0.04693914028733259
SCPCS000130	T.cells.CD4	0
SCPCS000130	T.cells.CD8	0
SCPCS000130	Tregs	0.005112952505197186
SCPCS000130	Dendritic.cells	0.010033114625932583
SCPCS000130	Other	0.845969251803119
SCPCS000131	B.cells	0.009232473488831749
SCPCS000131	Macrophages.M1	0
SCPCS000131	Macrophages.M2	6.416766665793789e-4
SCPCS000131	Monocytes	0.014150569224825653
SCPCS000131	Neutrophils	0
SCPCS000131	NK.cells	0.007998607170738697
SCPCS000131	T.cells.CD4	0
SCPCS000131	T.cells.CD8	0
SCPCS000131	Tregs	0
SCPCS000131	Dendritic.cells	0.0022101763462999183
SCPCS000131	Other	0.9657664971027246
SCPCS000132	B.cells	0.03506566938248702
SCPCS000132	Macrophages.M1	0
SCPCS000132	Macrophages.M2	0.008742621906719936
SCPCS000132	Monocytes	0.015171548392657939
SCPCS000132	Neutrophils	0.019220143773900775
SCPCS000132	NK.cells	0.034547080157475166
SCPCS000132	T.cells.CD4	0
SCPCS000132	T.cells.CD8	0
SCPCS000132	Tregs	0
SCPCS000132	Dendritic.cells	0.02909137400423627
SCPCS000132	Other	0.858161562382523
SCPCS000133	B.cells	0.022515432952742713
SCPCS000133	Macrophages.M1	0
SCPCS000133	Macrophages.M2	0.005098291019066658
SCPCS000133	Monocytes	0.009974119315914359
SCPCS000133	Neutrophils	0.0070569784828741836
SCPCS000133	NK.cells	0.010485377974518272
SCPCS000133	T.cells.CD4	0
SCPCS000133	T.cells.CD8	0
SCPCS000133	Tregs	0
SCPCS000133	Dendritic.cells	0.005074322034393333
SCPCS000133	Other	0.9397954782204905
SCPCS000134	B.cells	0.012520110839221225
SCPCS000134	Macrophages.M1	1.2708647399821327e-6
SCPCS000134	Macrophages.M2	0.0043826132614976565
SCPCS000134	Monocytes	0.005195836426342496
SCPCS000134	Neutrophils	0.013779375740450598
SCPCS000134	NK.cells	0.010488372119598362
SCPCS000134	T.cells.CD4	0
SCPCS000134	T.cells.CD8	0
SCPCS000134	Tregs	0.0027748762394718828
SCPCS000134	Dendritic.cells	0.00868891583962423
SCPCS000134	Other	0.9421686286690536
SCPCS000135	B.cells	0.03191365255454342
SCPCS000135	Macrophages.M1	0.005012707802332425
SCPCS000135	Macrophages.M2	0.009346056510404044
SCPCS000135	Monocytes	0.006500876718340944
SCPCS000135	Neutrophils	0.05493658475937039
SCPCS000135	NK.cells	0.02664051771835559
SCPCS000135	T.cells.CD4	0.016771152993376753
SCPCS000135	T.cells.CD8	0.004833811256687236
SCPCS000135	Tregs	0.006588134222147257
SCPCS000135	Dendritic.cells	7.942712375077408e-4
SCPCS000135	Other	0.8366622342269342
SCPCS000136	B.cells	0.008153780286642959
SCPCS000136	Macrophages.M1	0
SCPCS000136	Macrophages.M2	0.0038346650407117735
SCPCS000136	Monocytes	0
SCPCS000136	Neutrophils	0.019952126386105877
SCPCS000136	NK.cells	0.009157854589872727
SCPCS000136	T.cells.CD4	6.570415657062854e-4
SCPCS000136	T.cells.CD8	5.998197168361225e-4
SCPCS000136	Tregs	0.0025928026150274634
SCPCS000136	Dendritic.cells	0.004971026714255428
SCPCS000136	Other	0.9500808830848414
SCPCS000137	B.cells	0.0034545507969997607
SCPCS000137	Macrophages.M1	0
SCPCS000137	Macrophages.M2	5.120802361899751e-4
SCPCS000137	Monocytes	0.006452322885491441
SCPCS000137	Neutrophils	7.726767545231037e-5
SCPCS000137	NK.cells	0.0054885398243404455
SCPCS000137	T.cells.CD4	0.01904372524240898
SCPCS000137	T.cells.CD8	0
SCPCS000137	Tregs	0.0011976482171684056
SCPCS000137	Dendritic.cells	0.0015180810000066576
SCPCS000137	Other	0.962255784121942
SCPCS000138	B.cells	0.016904737091449264
SCPCS000138	Macrophages.M1	0.0017374681298804669
SCPCS000138	Macrophages.M2	0.0025710265815698744
SCPCS000138	Monocytes	0
SCPCS000138	Neutrophils	0.008470435921164362
SCPCS000138	NK.cells	0.03449864060927036
SCPCS000138	T.cells.CD4	0
SCPCS000138	T.cells.CD8	0
SCPCS000138	Tregs	0
SCPCS000138	Dendritic.cells	0.02103014308624181
SCPCS000138	Other	0.9147875485804239
SCPCS000139	B.cells	0.0036769870851419664
SCPCS000139	Macrophages.M1	0
SCPCS000139	Macrophages.M2	0
SCPCS000139	Monocytes	0.007551446883903797
SCPCS000139	Neutrophils	0.0020994594508694886
SCPCS000139	NK.cells	0.007890413875281383
SCPCS000139	T.cells.CD4	0.0015622246296017638
SCPCS000139	T.cells.CD8	0
SCPCS000139	Tregs	0
SCPCS000139	Dendritic.cells	0
SCPCS000139	Other	0.9772194680752015
SCPCS000140	B.cells	0.0050553790411597835
SCPCS000140	Macrophages.M1	0.0011056046265313238
