task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a2/979848	f526e9b6-f598-4e6e-ad65-626c7a8b5094	alevin (SCPCR000003-Homo_sapiens.GRCh38.104.spliced_intron.txome)	COMPLETED	0	2024-01-11 16:41:59.810	27m 59s	23m 27s	716.6%	12.6 GB	16.7 GB	29.7 GB	1.8 GB
7	78/41b5f8	ba73b486-b597-4f56-9a0c-505fc5c6686e	generate_permit (SCPCR000003-Homo_sapiens.GRCh38.104.spliced_intron.txome)	COMPLETED	0	2024-01-11 17:09:59.042	59.4s	11s	100.0%	279.1 MB	563.4 MB	1.9 GB	9.1 MB
5	fb/3bae44	b1a8b3ac-a6ce-42ba-8a11-fce84a1cc694	alevin (SCPCR000221-Homo_sapiens.GRCh38.104.spliced_intron.txome)	COMPLETED	0	2024-01-11 16:41:59.833	29m 19s	26m 7s	701.2%	12.5 GB	16.6 GB	18.5 GB	1.5 GB
8	8e/73344f	50d00ff7-47c5-4fb3-8bc1-75d9e25f7345	collate_fry (SCPCR000003-Homo_sapiens.GRCh38.104.spliced_intron.txome)	COMPLETED	0	2024-01-11 17:10:58.741	59.7s	9s	482.5%	733.8 MB	1.4 GB	5 GB	3.2 GB
9	63/3e8685	4d4119d0-a278-4880-8e7a-16ea433dfa16	generate_permit (SCPCR000221-Homo_sapiens.GRCh38.104.spliced_intron.txome)	COMPLETED	0	2024-01-11 17:11:18.811	49.7s	8s	100.1%	279 MB	563.4 MB	1.6 GB	6.5 MB
11	10/c9ea39	511537e3-d84b-43bf-a38e-4e59101dc36f	collate_fry (SCPCR000221-Homo_sapiens.GRCh38.104.spliced_intron.txome)	COMPLETED	0	2024-01-11 17:12:08.775	49.7s	4s	498.8%	884.9 MB	1.6 GB	3.1 GB	1.6 GB
10	79/610013	67111272-72f8-4f11-8b9b-440632cc0410	quant_fry (SCPCR000003-Homo_sapiens.GRCh38.104.spliced_intron.txome)	COMPLETED	0	2024-01-11 17:11:58.798	1m 30s	27s	753.5%	745.1 MB	12 GB	1.6 GB	31.6 MB
12	b3/2df088	cc939768-67c7-4447-928e-fe2dce851f02	quant_fry (SCPCR000221-Homo_sapiens.GRCh38.104.spliced_intron.txome)	COMPLETED	0	2024-01-11 17:12:58.768	1m 30s	43s	731.1%	545.6 MB	6.3 GB	850.7 MB	251.8 MB
2	34/c50e39	8313b639-e1eb-49d5-98c8-84dafc2b901f	alevin (SCPCR000126-Homo_sapiens.GRCh38.104.spliced_intron.txome)	COMPLETED	0	2024-01-11 16:41:59.829	49m 19s	43m 37s	716.6%	12.6 GB	16.6 GB	30.8 GB	7.1 GB
3	2a/5c16b8	e643cb00-9362-4656-88d0-8e67b8697710	alevin (SCPCR000127-Homo_sapiens.GRCh38.104.spliced_intron.txome)	COMPLETED	0	2024-01-11 16:41:59.831	52m 19s	46m 25s	716.3%	12.6 GB	16.6 GB	31.5 GB	7.6 GB
